Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146436,90788478,G,13.2996,1.33269,13.0342,-2.28086,13.1021,-0.173215,1.4689,1,T,6.65812,0.323117,1.82718,-6.39346,1.85553,-1.95067,1.39577,1,9.97321
146436,90916664,G,10.6149,5.48515,8.64685,-2.79476,10.2399,-0.26965,1.0055,1,G,24.3322,-14.8133,-9.85434,-16.5982,17.7916,-0.83314,-2.55458,1,27.5089
146436,90969200,G,6.21065,0.402732,-3.07414,-5.38038,3.10041,-1.31862,-1.44053,-1,G,12.0373,-8.90423,-7.12958,3.84303,11.4068,0.330837,-2.46643,1,12.419
146436,91067376,G,14.0765,1.64084,3.77976,13.4594,4.12055,1.89949,1.16123,1,G,7.65029,-6.28799,-4.12087,1.41259,7.51801,0.186805,-2.56146,-1,15.1381
146436,91027753,G,9.2808,-1.94966,-7.25532,5.44805,7.51271,0.673171,-1.83332,1,T,4.6726,1.1791,1.28327,4.33416,1.74271,1.6424,0.827677,1,7.92127
146436,90916331,G,8.4722,1.97601,7.82587,2.57256,8.07149,0.313559,1.32347,-1,G,4.12802,-3.06666,-2.55515,-1.04698,3.99164,-0.259375,-2.44693,1,11.2902
146436,91079051,G,11.7437,-10.8203,2.95501,3.47723,11.2166,0.305245,2.875,-1,T,3.67172,0.830242,-0.966505,-3.44194,1.27414,-1.71953,-0.861092,-1,11.5705
146436,90942036,G,41.4068,4.09647,10.9996,39.7081,11.7376,1.93306,1.21429,-1,T,2.88176,0.936893,0.121513,2.72045,0.94474,1.77966,0.128978,-1,3.50342
146436,90985100,G,10.618,-4.3387,-0.754251,-9.66113,4.40377,-1.52711,-2.96947,1,G,8.10394,2.39198,3.40745,-6.95201,4.1632,-1.28544,0.95874,1,7.98031
146436,91168213,G,167.782,39.0091,-30.5509,160.299,49.5486,1.89031,-0.664396,1,T,3.14872,-0.426839,-1.08415,2.92331,1.16515,1.65055,-1.94587,-1,9.29907
146436,90928390,G,14.9175,-3.07583,2.70282,14.3442,4.09462,1.96659,2.42065,-1,G,11.8474,5.45981,-0.919517,10.4736,5.5367,1.39411,-0.16685,1,9.56971
146436,90951446,G,22.482,21.6862,5.29054,-2.67353,22.3222,-0.119485,0.239285,-1,T,5.10747,-1.46378,-0.116118,-4.8907,1.46838,-1.91813,-3.06243,-1,16.378
146436,90990646,G,9.40165,-1.53812,-1.01688,-9.21846,1.84388,-2.31234,-2.55744,1,G,33.0052,5.01759,-9.95044,-31.0668,11.1439,-1.74911,-1.10375,-1,6.56139
146436,91129167,G,45.8122,5.66643,-14.2482,-43.1698,15.3336,-1.75839,-1.19228,-1,T,8.07748,0.120785,-1.55773,-7.92423,1.56241,-2.32643,-1.49341,-1,3.19125
146436,91255034,G,13.0397,0.876393,5.15305,-11.9457,5.22705,-1.56443,1.40234,-1,G,13.6012,-2.63238,7.81677,-10.8144,8.24811,-1.08522,1.89563,-1,4.51843
146436,91189596,G,6.6551,3.00733,0.0864672,5.93529,3.00857,1.4314,0.0287442,-1,G,6.91422,-0.559634,3.34308,6.02543,3.3896,1.33952,1.73666,1,4.8285
146436,91286532,G,13.4433,-4.01899,-10.0107,-8.02148,10.7873,-0.688022,-1.95257,1,T,3.37167,1.16015,0.0449148,3.16371,1.16102,1.72768,0.0386952,1,12.3148
146436,91320748,G,37.5208,-9.66659,-1.00784,-36.24,9.71898,-2.02674,-3.03771,1,T,8.52252,-1.85333,1.26263,-8.2215,2.24256,-2.01038,2.54354,-1,3.22257
146436,91348868,G,11.076,-3.94509,2.86454,-9.94473,4.87538,-1.46129,2.51356,1,G,6.16739,-4.40668,4.10449,-1.32661,6.0221,-0.218547,2.39168,-1,7.2092
146436,91438924,G,30.3303,-4.11775,8.01747,28.9599,9.01308,1.88376,2.04526,1,T,7.00686,0.183488,2.26647,6.62679,2.27389,1.79099,1.49001,-1,2.53132
146436,91304253,G,16.6669,-3.34651,-0.975937,-16.2979,3.48591,-2.2467,-2.85783,1,T,3.26591,-0.502263,0.804871,-3.12329,0.948729,-1.90697,2.1287,-1,2.30013
146436,91303845,G,16.6206,7.50765,4.39449,-14.1619,8.69921,-1.2637,0.529567,-1,G,7.86658,2.51304,0.340923,-7.44583,2.53606,-1.79801,0.134838,1,3.14543
146436,91339013,G,8.81283,-4.5675,-6.38155,-4.00856,7.84769,-0.490846,-2.19201,1,G,5.11493,-4.26355,-0.389794,-2.7967,4.28133,-0.613931,-3.05042,-1,4.88183
146436,91212199,G,20.6872,-1.10553,-7.05623,19.4149,7.14231,1.72539,-1.72621,-1,T,4.73266,-1.12038,-0.42086,4.57761,1.19682,2.05133,-2.78226,1,3.10956
146436,91311447,G,12.1607,4.90617,-5.0238,-9.92783,7.02204,-1.14598,-0.797243,-1,T,4.40098,0.81984,-0.531669,-4.28983,0.977144,-2.18524,-0.575323,1,2.91481
